Dry Bulb  Temperature (¢J),Relative Humidity (%),Wind Speed (m/s),Solar Radiation (W/m2),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J)
29.980852,77.2521321,3.327670046,556.6247582,27.29554136,37.18415824,29.5417958,,,,,,,,,,,,,,,,,,
29.876636,77.2521321,3.327670046,556.6247582,27.2010366,37.07604401,29.44359802,,,,,,,,,,,,,,,,,,
29.980852,77.2521321,3.327670046,556.6247582,27.29554136,37.18415824,29.5417958,,,,,,,,,,,,,,,,,,
29.980852,77.2521321,3.327670046,556.6247582,27.29554136,37.18415824,29.5417958,,,,,,,,,,,,,,,,,,
30.29907,77.2521321,3.327670046,556.6247582,27.60233711,37.51436454,29.85441588,,,,,,,,,,,,,,,,,,
29.980852,77.2521321,3.327670046,556.6247582,27.29554136,37.18415824,29.5417958,,,,,,,,,,,,,,,,,,
30.29907,77.2521321,3.327670046,556.6247582,27.60233711,37.51436454,29.85441588,,,,,,,,,,,,,,,,,,
30.29907,77.2521321,3.327670046,556.6247582,27.60233711,37.51436454,29.85441588,,,,,,,,,,,,,,,,,,
30.205661,77.2521321,3.327670046,556.6247582,27.51794668,37.41742318,29.76661341,,,,,,,,,,,,,,,,,,
30.29907,77.2521321,3.327670046,556.6247582,27.60233711,37.51436454,29.85441588,,,,,,,,,,,,,,,,,,
30.29907,77.2521321,3.327670046,556.6247582,27.60233711,37.51436454,29.85441588,,,,,,,,,,,,,,,,,,
30.29907,77.2521321,3.327670046,556.6247582,27.60233711,37.51436454,29.85441588,,,,,,,,,,,,,,,,,,
30.29907,77.2521321,3.327670046,556.6247582,27.60233711,37.51436454,29.85441588,,,,,,,,,,,,,,,,,,
30.205661,77.2521321,3.327670046,556.6247582,27.51794668,37.41742318,29.76661341,,,,,,,,,,,,,,,,,,
29.475672,77.2521321,3.327670046,556.6247582,26.8376929,36.66020977,29.06599419,,,,,,,,,,,,,,,,,,
27.557315,77.2521321,3.327670046,556.6247582,25.0873225,34.67348625,27.2515545,,,,,,,,,,,,,,,,,,
27.557315,77.2521321,3.327670046,556.6247582,25.0873225,34.67348625,27.2515545,,,,,,,,,,,,,,,,,,
29.94404,77.2521321,3.327670046,556.6247582,27.26215652,37.14596771,29.5071071,,,,,,,,,,,,,,,,,,
24.499239,77.2521321,3.327670046,556.6247582,22.31458986,31.5156827,24.37327335,,,,,,,,,,,,,,,,,,
24.499239,77.2521321,3.327670046,556.6247582,22.31458986,31.5156827,24.37327335,,,,,,,,,,,,,,,,,,
29.980852,77.2521321,3.327670046,556.6247582,27.29554136,37.18415824,29.5417958,,,,,,,,,,,,,,,,,,
29.980852,77.2521321,3.327670046,556.6247582,27.29554136,37.18415824,29.5417958,,,,,,,,,,,,,,,,,,
30.205661,77.2521321,3.327670046,556.6247582,27.51794668,37.41742318,29.76661341,,,,,,,,,,,,,,,,,,
30.205661,77.2521321,3.327670046,556.6247582,27.51794668,37.41742318,29.76661341,,,,,,,,,,,,,,,,,,
29.94404,77.2521321,3.327670046,556.6247582,27.26215652,37.14596771,29.5071071,,,,,,,,,,,,,,,,,,
25.545341,77.2521321,3.327670046,556.6247582,23.25739125,32.59464404,25.35363679,,,,,,,,,,,,,,,,,,
30.244022,72.51354839,2.239344086,896.8963675,27.5078305,43.85889586,31.05166272,,,,,,,,,,,,,,,,,,
29.75127,72.51354839,2.239344086,896.8963675,27.08268747,43.35225838,30.60345991,,,,,,,,,,,,,,,,,,
29.422967,72.51354839,2.239344086,896.8963675,26.78103848,43.01487563,30.29199876,,,,,,,,,,,,,,,,,,
27.108091,72.51354839,2.239344086,896.8963675,24.77031993,40.63982287,28.17799763,,,,,,,,,,,,,,,,,,
27.65632,72.51354839,2.239344086,896.8963675,25.2583123,41.2017003,28.68679067,,,,,,,,,,,,,,,,,,
29.422967,72.51354839,2.239344086,896.8963675,26.78103848,43.01487563,30.29199876,,,,,,,,,,,,,,,,,,
29.75127,72.51354839,2.239344086,896.8963675,27.08268747,43.35225838,30.60345991,,,,,,,,,,,,,,,,,,
29.552022,72.51354839,2.239344086,896.8963675,26.91105021,43.14748352,30.42243405,,,,,,,,,,,,,,,,,,
26.531265,72.51354839,2.239344086,896.8963675,24.27440894,40.04903557,27.65501988,,,,,,,,,,,,,,,,,,
30.489928,72.51354839,2.239344086,896.8963675,27.72035049,44.11184755,31.27560765,,,,,,,,,,,,,,,,,,
28.162874,72.51354839,2.239344086,896.8963675,25.69379834,41.72119614,29.14618547,,,,,,,,,,,,,,,,,,
18.6994095,72.51354839,2.239344086,896.8963675,17.54268358,32.07745168,20.56530979,,,,,,,,,,,,,,,,,,
20.879409,72.51354839,2.239344086,896.8963675,19.40514729,34.2940845,22.53036091,,,,,,,,,,,,,,,,,,
27.108091,72.51354839,2.239344086,896.8963675,24.77031993,40.63982287,28.17799763,,,,,,,,,,,,,,,,,,
26.945443,72.51354839,2.239344086,896.8963675,24.63037915,40.4731969,28.03044908,,,,,,,,,,,,,,,,,,
26.989333,89.26386278,8.803007373,588.2440476,25.96894253,32.10929199,27.29905147,,,,,,,,,,,,,,,,,,
30.164794,74.4444086,2.733817204,817.3493409,27.47139907,41.68089681,30.58263811,,,,,,,,,,,,,,,,,,
26.471953,74.4444086,2.733817204,817.3493409,24.19819858,37.87894735,27.16172377,,,,,,,,,,,,,,,,,,
30.87829,74.4444086,2.733817204,817.3493409,28.10024403,42.4174392,31.24148766,,,,,,,,,,,,,,,,,,
30.298394,74.4444086,2.733817204,817.3493409,27.58901834,41.81876291,30.70590482,,,,,,,,,,,,,,,,,,
25.920699,74.4444086,2.733817204,817.3493409,23.7158471,37.31283596,26.65573006,,,,,,,,,,,,,,,,,,
26.471953,74.4444086,2.733817204,817.3493409,24.19819858,37.87894735,27.16172377,,,,,,,,,,,,,,,,,,
30.082365,74.4444086,2.733817204,817.3493409,27.39886022,41.59584698,30.50660805,,,,,,,,,,,,,,,,,,
29.552022,74.4444086,2.733817204,817.3493409,26.93270914,41.04884698,30.01786799,,,,,,,,,,,,,,,,,,
29.2059,74.4444086,2.733817204,817.3493409,26.62901066,40.69204478,29.69930642,,,,,,,,,,,,,,,,,,
29.422967,74.4444086,2.733817204,817.3493409,26.81942283,40.91579219,29.89905112,,,,,,,,,,,,,,,,,,
27.47675433,74.4444086,2.733817204,817.3493409,25.09362305,38.91177379,28.09556633,,,,,,,,,,,,,,,,,,
29.2059,74.4444086,2.733817204,817.3493409,26.62901066,40.69204478,29.69930642,,,,,,,,,,,,,,,,,,
25.417861,74.4444086,2.733817204,817.3493409,23.276628,36.79676231,26.19477816,,,,,,,,,,,,,,,,,,
29.978532,80.38328674,3.286017204,715.4855002,27.97703722,39.38650394,30.45908004,,,,,,,,,,,,,,,,,,
29.978532,80.38328674,3.286017204,715.4855002,27.97703722,39.38650394,30.45908004,,,,,,,,,,,,,,,,,,
29.978532,80.38328674,3.286017204,715.4855002,27.97703722,39.38650394,30.45908004,,,,,,,,,,,,,,,,,,
29.978532,80.38328674,3.286017204,715.4855002,27.97703722,39.38650394,30.45908004,,,,,,,,,,,,,,,,,,
29.033291,80.38328674,3.286017204,715.4855002,27.10070679,38.40938264,29.55570038,,,,,,,,,,,,,,,,,,
29.033291,80.38328674,3.286017204,715.4855002,27.10070679,38.40938264,29.55570038,,,,,,,,,,,,,,,,,,
29.495319,68.3683062,3.188540092,478.0503145,25.38409895,35.6173647,27.8418741,,,,,,,,,,,,,,,,,,
30.701476,68.3683062,3.188540092,478.0503145,26.46014521,36.8684972,28.96594869,,,,,,,,,,,,,,,,,,
30.701476,68.3683062,3.188540092,478.0503145,26.46014521,36.8684972,28.96594869,,,,,,,,,,,,,,,,,,
